name,RGIId
Mt.Franklin,RGI60-18.02911
Rolleston,RGI60-18.02910
Mt.Carrington,RGI60-18.02901
Mt.Avoca,RGI60-18.02759
Marmaduke,RGI60-18.02823
Retreat,RGI60-18.02818
Browning,RGI60-18.02871
Mt.Butler,RGI60-18.03141
Dainty,RGI60-18.03075
Kea,RGI60-18.03385
Siege,RGI60-18.03303
Vertebrae12,RGI60-18.03213
Vertebrae25,RGI60-18.03126
Ridge,RGI60-18.02616
Langdale,RGI60-18.02452
Tasman,RGI60-18.02342
Salisbury,RGI60-18.03474
Jalf,RGI60-18.03475
Chancellor,RGI60-18.02503
Glenmary,RGI60-18.01625
Blair,RGI60-18.01534
MtMckenzie,RGI60-18.01994
Jackson,RGI60-18.02071
Jack,RGI60-18.01669
Thurneyson,RGI60-18.01382
Brewster,RGI60-18.01130
Mt.Stuart,RGI60-18.01466
Fog,RGI60-18.00599
Snowy,RGI60-18.01032
Findlay,RGI60-18.00911
ParkPass,RGI60-18.00569
Mt.Larkins,RGI60-18.00426
Bryant,RGI60-18.00448
Ailsa,RGI60-18.00457
Mt.Gunn,RGI60-18.00375
Mt.Gendarme,RGI60-18.00334
Llawrenny,RGI60-18.00096
Barrier,RGI60-18.00234
Lindsay,RGI60-18.01150
SouthCameron,RGI60-18.03239
